title	number_of_sentences	number_of_tokens	number_of_lemmas	mean_sentence_length	lemma_token_ratio	top_10_nouns
1. Der Froschkönig oder der eiserne Heinrich .	37	1552	389	41.945945945945944	0.2506443298969072	Frosch, König, Brunnen, Kugel, Königstochter, Heinrich, Wasser, Wagen, Wald, Geselle
2. Katze und Maus in Gesellschaft .	32	1096	331	34.25	0.30200729927007297	Katze, Maus, Name, Gevatter, Haus, Kind, Fetttopf, Kirche, Tag, Ganzaus
3. Marienkind .	51	2040	483	40	0.23676470588235293	Jungfrau, Kind, Maria, Königin, Mädchen, Tür, König, Jahr, Himmel, Türe
4. Mährchen von einem , der auszog das Fürchten zu lernen .	101	4210	710	41.68316831683168	0.16864608076009502	Junge, Feuer, Vater, Mann, Gruseln, Mir_Es, König, Nacht, Ecke, Auge
5. Der Wolf und die sieben jungen Geislein .	37	1191	313	32.189189189189186	0.26280436607892527	Wolf, Mutter, Kind, Geißlein, Stimme, Pfote, Bauch, Wald, Haustür, Stein
6. Der treue Johannes .	74	3349	619	45.25675675675676	0.18483129292326067	König, Johannes, Schiff, Königstochter, Schloß, Leben, Bild, Stein, Kind, Kammer
7. Der gute Handel .	35	1890	434	54	0.22962962962962963	Bauer, König, Ak, Jude, Geld, Rock, Taler, Frosch, Tag, Hund
8. Der wunderliche Spielmann .	30	1190	302	39.666666666666664	0.253781512605042	Spielmann, Wolf, Wald, Fuchs, Hasechen, Weg, Weile, Geselle, Baum, Zeit
9. Die zwölf Brüder .	55	2162	489	39.30909090909091	0.22617946345975948	Bruder, Mädchen, König, Benjamin, Wald, Mutter, Kind, Feuer, Hauschen, Jahr
10. Das Lumpengesindel .	22	853	300	38.77272727272727	0.3516998827667057	Hahnchen, Huhnchen, Ente, Fuß, Haus, Wagen, Stecknadel, Nähnadel, Wirt, Kopf
11. Brüderchen und Schwesterchen .	74	2653	523	35.851351351351354	0.19713531850735017	König, Schwesterchen, Bruderchen, Königin, Rehchen, Jäger, Wald, Kind, Nacht, Hand
12. Rapunzel .	49	1565	396	31.93877551020408	0.25303514376996805	Rapunzel, Zauberin, Frau, Haar, Mann, Königssohn, Garten, Tag, Kind, Turm
13. Die drei Männlein im Walde .	63	2184	483	34.666666666666664	0.22115384615384615	Tochter, Frau, Mädchen, Wasser, König, Mann, Wald, Erdbeere, Haus, Mund
14. Die drei Spinnerinnen .	21	970	291	46.19047619047619	0.3	Mädchen, Königin, Flachs, Mutter, Kammer, Faden, Bräutigam, Tochter, Tag, Weib
15. Hänsel und Grethel .	98	3185	613	32.5	0.1924646781789639	Hänsel, Grethel, Kind, Wald, Frau, Weg, Vater, Brot, Haus, Alte
16. Die drei Schlangenblätter .	44	1557	444	35.38636363636363	0.28516377649325625	König, Vater, Mann, Leben, Schlange, Blatt, Brot, Tag, Frau, Schiff
17. Die weiße Schlange .	53	1702	492	32.113207547169814	0.2890716803760282	Diener, Jüngling, König, Leben, Apfel, Ring, Pferd, Königstochter, Aufgabe, Garten
18. Strohhalm , Kohle und Bohne .	19	569	224	29.94736842105263	0.3936731107205624	Bohne, Strohhalm, Kohle, Feuer, Bach, Brücke, Herd, Stroh, Topf, Glück
19. Von dem Fischer un syner Fru .	89	3718	689	41.7752808988764	0.1853146853146853	De, Frau, Mann, Butt, Ik, He, König, Kaiser, See, Wöör
20. Das tapfere Schneiderlein .	104	3565	747	34.27884615384615	0.20953716690042076	Schneiderlein, Riese, Schneider, Baum, König, Streiche, Wald, Stein, Frau, Mann
21. Aschenbuttel .	104	2825	527	27.16346153846154	0.18654867256637167	Aschenputtel, Kleid, Königssohn, Schuh, Mädchen, Asche, Braut, Taubechen, Fuß, Mutter
22. Das Räthsel .	37	1230	362	33.24324324324324	0.2943089430894309	Diener, Rätsel, Rabe, Königssohn, Nacht, Mantel, Herr, Königstochter, Mädchen, Fremde
23. Von dem Mäuschen , Vögelchen und der Bratwurst .	23	658	242	28.608695652173914	0.3677811550151976	Vöglein, Holz, Bratwurst, Maus, Wasser, Feuer, Tisch, Tag, Vogel, Vogelchen
24. Frau Holle .	40	1285	328	32.125	0.2552529182879377	Frau, Holle, Brunnen, Haus, Mädchen, Spule, Tor, Apfel, Bett, Gold
25. Die sieben Raben .	29	962	315	33.172413793103445	0.32744282744282743	Rabe, Mädchen, Bruder, Kind, Becherchen, Vater, Eltern, Glasberg, Tellerchen, Welt
26. Rothkäppchen .	39	1518	389	38.92307692307692	0.25625823451910407	Großmutter, Wolf, Rotkappechen, Rotkäppchen, Wald, Haus, Weg, Bett, Türe, Tag
27. Die Bremer Stadtmusikanten .	36	1421	406	39.47222222222222	0.2857142857142857	Esel, Katze, Hahn, Hund, Räuber, Weg, Bremen, Haus, Licht, Stadtmusikant
28. Der singende Knochen .	28	800	284	28.571428571428573	0.355	König, Bruder, Schwein, Spieß, Brücke, Wald, Herz, Land, Tier, Männlein
29. Der Teufel mit den drei goldenen Haaren .	77	2919	534	37.90909090909091	0.1829393627954779	Teufel, König, Brief, Haar, Frau, Glückskind, Wasser, Fährmann, Tochter, Knabe
30. Läuschen und Flöhchen .	25	458	95	18.32	0.2074235807860262	Lauschen, Flohchen, Türchen, Besenchen, Wagenchen, Mistchen, Wasserkrügelchen, Baumchen, Mädchen, Wasser
31. Das Mädchen ohne Hände .	69	2536	488	36.7536231884058	0.19242902208201892	König, Hand, Kind, Frau, Engel, Königin, Gott, Müller, Geist, Brief
32. Der gescheidte Hans .	58	1263	139	21.775862068965516	0.110055423594616	Hans, Grethel, Mutter, 'guten, Tag, Abend, Mach, Adie, 'adies, Gut
33. Die drei Sprachen .	28	1012	312	36.142857142857146	0.308300395256917	Vater, Sohn, Meister, Hund, Jahr, Zeit, Papst, Mensch, Frosch, Burgherr
34. Die kluge Else .	32	1547	320	48.34375	0.2068519715578539	Else, Hans, Keller, Kreuzhacke, Kind, Magd, Kopf, Bier, Frau, Mann
35. Der Schneider im Himmel .	30	839	278	27.966666666666665	0.33134684147794996	Schneider, Herr, Himmel, Sessel, Türe, Erde, Schemel, Stuhl, Blase, Fuß
36. Tischchen deck dich , Goldesel , und Knüppel aus dem Sack .	126	4218	703	33.476190476190474	0.16666666666666666	Tischchen, Schneider, Ziege, Sohn, Wirt, Sack, Vater, Esel, Deck, Meh
37. Daumesdick .	60	2537	555	42.28333333333333	0.2187623176980686	Daumesdick, Vater, Mann, Wolf, Wagen, Pferd, Frau, Kind, Ohr, Pfarrer
38. Die Hochzeit der Frau Füchsin .	48	901	247	18.770833333333332	0.2741398446170921	Fuchs, Herr, Frau, Füchsin, Katze, Magd, Freier, Wolf, Schwanz, Hochzeit
39. Die Wichtelmänner .	49	1211	360	24.714285714285715	0.2972749793559042	Arbeit, Schuh, Paar, Schuster, Mann, Wichtelmann, Leder, Morgen, Tisch, Frau
40. Der Räuberbräutigam .	56	1477	374	26.375	0.25321597833446174	Braut, Bräutigam, Haus, Faß, Räuber, Mädchen, Alte, Finger, Wald, Weg
41. Herr Korbes .	20	412	148	20.6	0.3592233009708738	Herr, Korbes, Hahnchen, Katze, Haus, Huhnchen, Wagen, Mauschen, Mühlstein, Ei
42. Der Herr Gevatter .	19	688	195	36.21052631578947	0.28343023255813954	Gevatter, Treppe, Mann, Herr, Wasser, Kind, Kranke, Tod, Kopf, Besen
43. Frau Trude .	6	347	134	57.833333333333336	0.3861671469740634	Frau, Trude, Eltern, Mädchen, Mann, Ding, Tag, Leute, Haus, Kind
44. Der Gevatter Tod .	35	1322	357	37.77142857142857	0.2700453857791225	Tod, Arzt, Mann, Kranke, Kind, Pate, Kraut, Gevatter, Welt, Fuß
45. Daumerlings Wanderschaft .	59	1744	480	29.559322033898304	0.27522935779816515	Däumling, Schneiderlein, Fuchs, Frau, Arbeit, Meisterin, Schatzkammer, Taler, Vater, Herr
46. Fitchers Vogel .	45	1430	389	31.77777777777778	0.272027972027972	Haus, Ei, Braut, Hexenmeister, Schlüssel, Korb, Mann, Vogel, Gold, Fitchers
47. Von dem Machandelboom .	107	3643	708	34.046728971962615	0.19434531979138073	De, Ehre, Vogel, Frau, Wöör, Appell, He, Moder, Awerst, Ik
48. Der alte Sultan .	30	934	314	31.133333333333333	0.3361884368308351	Wolf, Hund, Sultan, Katze, Schwein, Frau, Kind, Bauer, Wald, Herr
49. Die sechs Schwäne .	68	2131	498	31.33823529411765	0.2336931018301267	König, Wald, Bruder, Mädchen, Königin, Schwan, Weg, Kind, Tag, Alte
50. Dornröschen .	40	1422	392	35.55	0.27566807313642755	König, Königin, Schloß, Dornrösche, Jahr, Königstochter, Spindel, Königssohn, Tag, Kind
51. Fundevogel .	31	1052	232	33.935483870967744	0.22053231939163498	Kind, Lenchen, Fundevogel, Kochin, Wasser, Förster, Haus, Knecht, Wald, Jagd
52. König Drosselbart .	59	1875	482	31.779661016949152	0.25706666666666667	König, Drosselbart, Mann, Spielmann, Königstochter, Frau, Hand, Topf, Tochter, Leute
53. Sneewittchen .	120	3391	618	28.258333333333333	0.18224712474196403	Schneewittchen, Königin, Zwerg, Spiegel, Land, Berg, Kind, Wand, Herz, Schnee
54. Der Ranzen , das Hütlein und das Hörnlein .	69	2472	583	35.82608695652174	0.23584142394822005	Ranzen, Köhler, Hutlein, Tüchlein, Glück, Bruder, König, Tag, Wald, Silber
55. Rumpelstilzchen .	25	1198	315	47.92	0.2629382303839733	Stroh, Männchen, Gold, Königin, Mädchen, Name, Müllerstochter, König, Kammer, Nacht
56. Der Liebste Roland .	47	1608	412	34.212765957446805	0.2562189054726368	Roland, Mädchen, Liebste, Blume, Hexe, Alte, Bett, Zeit, Kind, Kopf
57. Der goldene Vogel .	109	3265	630	29.954128440366972	0.19295558958652373	Fuchs, Vogel, König, Pferd, Jungfrau, Jüngling, Bruder, Königssohn, Weg, Schloß
58. Der Hund und der Sperling .	40	1360	300	34	0.22058823529411764	Sperling, Fuhrmann, Hund, Pferd, Mann, Kopf, 'fuhrmann, Vogel, Stück, Wagen
59. Der Frieder und das Catherlieschen .	61	2859	550	46.868852459016395	0.19237495627841902	Katerliesechen, Friedearche, Frieder, Haus, Bier, Türe, Wurst, Käse, Mann, Butter
60. Die zwei Brüder .	208	9093	1099	43.71634615384615	0.12086220169361046	Jäger, König, Tier, Löwe, Hase, Wirt, Herr, Bruder, Drachen, Fuchs
61. Das Bürle .	48	2175	462	45.3125	0.21241379310344827	Bürle, Müller, Frau, Schultheiß, Bauer, Faß, Sprache, Rabe, Wasser, Kuh
62. Die Bienenkönigin .	27	849	257	31.444444444444443	0.3027090694935218	Dümmling, Bruder, Stein, Tier, Honig, Schloß, Perle, Frieden, Leide_Es, See
63. Die drei Federn .	36	1100	298	30.555555555555557	0.27090909090909093	König, Dümmling, Feder, Jtsche, Ring, Reich, Frau, Teppich, Bruder, Hutzelbein
64. Die goldene Gans .	46	1699	410	36.93478260869565	0.2413184226015303	Dümmling, Gans, Wald, Wein, König, Mann, Kuchen, Männlein, Baum, Männchen
65. Allerleirauh .	63	2352	461	37.333333333333336	0.19600340136054423	König, Koch, Allerleirauh, Suppe, Kleid, Haar, Ring, Stallchen, Vater, Mantel
66. Häsichenbraut .	17	477	154	28.058823529411764	0.3228511530398323	Häsichen, Coal, De, Mäken, Seits, Frau, Toachter, Geoart, Haosenschwanzeken, 'thu
67. Die zwölf Jäger .	35	1194	301	34.114285714285714	0.2520938023450586	König, Jäger, Löwe, Vater, Braut, Erbse, Königstochter, Mädchen, Vorzimmer, Spinnrad
68. De Gaudeif un sien Meester .	23	936	301	40.69565217391305	0.3215811965811966	Sohn, De, Jan, Gaudeifen, Mie, Pferd, Meister, Uht, Taum, Mann
69. Jorinde und Joringel .	47	1017	315	21.638297872340427	0.30973451327433627	Joringel, Jorinde, Schloß, Vogel, Blume, Korb, Leide, Nachtigall, Wald, Tag
70. Die drei Glückskinder .	33	1059	363	32.09090909090909	0.34277620396600567	Katze, Leute, König, Hahn, Sense, Tier, Zeit, Maus, Schloß, Insel
71. Sechse kommen durch die ganze Welt .	47	2253	509	47.93617021276596	0.22592099422991566	König, Sack, Mann, Laufer, Krug, Welt, Herr, Königstochter, Bein, Stube
72. Der Wolf und der Mensch .	12	477	177	39.75	0.3710691823899371	Wolf, Mensch, Fuchs, Jäger, Gesicht, Stärke, 'jst, 'nein, Hirschfänger, 'siehst
73. Der Wolf und der Fuchs .	18	807	246	44.833333333333336	0.3048327137546468	Fuchs, Wolf, Bauer, Wald, 'rothfuchs, Lammlein, Nimmersatt, Pfannkuchen, Keller, Tag
74. Der Fuchs und die Frau Gevatterin .	9	403	181	44.77777777777778	0.4491315136476427	Fuchs, Frau, Gevatterin, Wölfin, Welt, Gevatter, Stall, Bauer, Junge, Verstand
75. Der Fuchs und die Katze .	13	331	144	25.46153846153846	0.4350453172205438	Fuchs, Katze, Herr, Kunst, Hund, Sack, Baum, Wald, 'er, Welt
76. Die Nelke .	43	1954	423	45.44186046511628	0.2164790174002047	König, Leben, Sohn, Koch, Turm, Kind, Königin, Herz, Jäger, Herr
77. Das kluge Grethel .	23	1076	291	46.78260869565217	0.2704460966542751	Herr, Huhn, Grethel, Gast, Feuer, Trunk, Wein, Spieß, Messer, Kochin
78. Der alte Großvater und der Enkel .	10	269	128	26.9	0.4758364312267658	Großvater, Tisch, Frau, Schüsselchen, Enkel, Mann, Auge, Erde, Vater, Ohr
79. Die Wassernixe .	10	308	129	30.8	0.41883116883116883	Kind, Nixe, Wassernixe, Mädchen, Brunnen, Axt, Kirche, Spiegelberg, Bruderchen, Schwesterchen
80. Von dem Tode des Hühnchens .	17	714	195	42	0.27310924369747897	Huhnchen, Hahnchen, Wasser, Brunnen, Braut, Wagen, Seide, Nußberg, Nußkern, Lauf
81. Bruder Lustig .	112	4675	684	41.74107142857143	0.14631016042780748	Bruder, Heil., Lustig, Ranzen, Lamm, Kreuzer, Herz, Soldat, Wasser, Weg
82. De Spielhansl .	29	1280	394	44.13793103448276	0.3078125	E, De, Spielhansel, Zahn, Hietzt, Herrgott, G'sogt, Wide, Eine, Sand
83. Hans im Glück .	63	2275	559	36.111111111111114	0.24571428571428572	Hans, Kuh, Schwein, Pferd, Stein, Gans, Kopf, Freude, Gold, Hand
84. Hans heirathet .	10	497	200	49.7	0.4024144869215292	Hans, Kleid, Vetter, Frau, Placken, Feld, Milch, Weißbrot, Heller, Hand
85. Die Goldkinder .	49	2155	459	43.97959183673469	0.21299303944315545	Mann, Frau, Fisch, Wald, Goldkind, Schloß, Vater, Haus, Pferd, Hirsch
86. Der Fuchs und die Gänse .	5	263	125	52.6	0.4752851711026616	Fuchs, Gans, Ga, Leben, Gnade, Gebet, Reihe, Wiese, Herde, Schrecken
full corpus	4125	147659	33532	36.15414928732694	0.22709079703912394	König, Frau, Mann, De, Kind, Haus, Wald, Tag, Bruder, Vater
