top_nouns_full	freq_full	top_nouns_tales	freq_tales
König	519	König	496
Frau	336	Frau	254
Mann	270	De	225
De	225	Mann	193
Kind	224	Kind	175
Haus	211	Bruder	158
Wald	208	Wald	135
Tag	199	Fuchs	126
Bruder	184	Mädchen	122
Vater	176	Hans	111
Mädchen	163	Vater	108
Herr	151	Herr	106
Weg	134	Wolf	100
Fuchs	133	Jäger	98
Königin	128	Haus	93
Hand	128	Königin	91
Wasser	126	Grethel	91
Wolf	124	Wasser	73
Herz	123	Katze	71
Jäger	122	Vogel	68
Baum	116	Tag	67
Mutter	115	Weg	62
Zeit	114	Pferd	57
Tochter	114	Schneider	54
Hans	113	Sohn	52
Tier	108	Wirt	51
Welt	102	Tier	49
Gold	102	Mutter	48
Vogel	102	Schloß	48
Auge	101	Bauer	48
Schloß	100	Hund	48
Kopf	97	Königstochter	46
Nacht	96	Königssohn	45
Feuer	96	Schneiderlein	45
Königstochter	94	Löwe	44
Türe	94	Katerliesechen	43
Morgen	93	Bürle	43
Sohn	91	Dümmling	42
Grethel	91	Braut	40
Bett	89	Schneewittchen	40
Pferd	87	Johannes	39
Leben	79	Hänsel	39
Katze	75	Spielmann	38
Abend	74	Feuer	37
Alte	73	Ik	37
Jahr	72	Heil.	37
Sprache	71	He	35
Hund	71	Lustig	35
Freude	70	Ranzen	34
Erde	69	Junge	33
Junge	67	Hand	33
Jungfrau	66	Riese	33
Wein	66	Jungfrau	32
Stein	65	Leben	32
Wirt	65	Baum	32
Gott	64	Herz	32
Braut	64	Frosch	30
Kleid	63	Stein	30
Tod	63	Tochter	30
Mensch	62	Wöör	30
Königssohn	61	Sack	30
Brot	61	Ehre	30
Stück	60	Sperling	30
Bauer	60	Hase	30
Leute	59	Maus	29
Schneider	58	Nacht	29
Hochzeit	55	Esel	29
Ei	53	Rapunzel	28
Fuß	52	Haar	28
Glück	52	Kleid	28
Tisch	50	Hahnchen	27
Land	50	Kopf	27
Ehre	50	Butt	27
Fenster	49	Wagen	26
Du	49	Gevatter	26
Geld	49	Alte	26
Diener	48	Großmutter	26
Ende	48	Daumesdick	26
Angst	47	Türe	25
Teufel	47	Else	25
Haar	46	Brunnen	24
Kammer	46	Müller	24
Löwe	46	Jüngling	23
Brunnen	45	Aschenputtel	23
Himmel	45	Gold	23
Schneiderlein	45	Jahr	22
Leib	44	Huhnchen	22
Berg	43	Brief	22
Katerliesechen	43	Koch	22
Bürle	43	Schwein	21
Stadt	42	Tischchen	21
Ding	42	Ziege	21
Arbeit	42	Tod	21
Dümmling	42	Friedearche	21
Ruhe	41	Drachen	21
Stube	41	Schuh	20
Spielmann	40	Rabe	20
Koch	40	Kuh	20
