Characters,TaleOccurrenceFrequency,RelationFrequency,Tale
"König, Frosch",3,5,1. Der Froschkönig oder der eiserne Heinrich .
"Tür, König",2,4,1. Der Froschkönig oder der eiserne Heinrich .
"König, Tag",2,27,1. Der Froschkönig oder der eiserne Heinrich .
"König, Brunnen",2,3,1. Der Froschkönig oder der eiserne Heinrich .
"Heinrich, König",2,2,1. Der Froschkönig oder der eiserne Heinrich .
"König, Wagen",2,7,1. Der Froschkönig oder der eiserne Heinrich .
"Kugel, König",2,2,1. Der Froschkönig oder der eiserne Heinrich .
"Wald, König",2,22,1. Der Froschkönig oder der eiserne Heinrich .
"Finger, König",1,1,1. Der Froschkönig oder der eiserne Heinrich .
"Vater, König",1,19,1. Der Froschkönig oder der eiserne Heinrich .
"König, Ecke",1,3,1. Der Froschkönig oder der eiserne Heinrich .
"Morgen, König",1,20,1. Der Froschkönig oder der eiserne Heinrich .
"König, Herz",1,11,1. Der Froschkönig oder der eiserne Heinrich .
"König, Tochter",1,52,1. Der Froschkönig oder der eiserne Heinrich .
"Freude, König",1,17,1. Der Froschkönig oder der eiserne Heinrich .
"Stuhl, König",1,3,1. Der Froschkönig oder der eiserne Heinrich .
"König, Pferd",1,11,1. Der Froschkönig oder der eiserne Heinrich .
"König, Riese",1,1,1. Der Froschkönig oder der eiserne Heinrich .
"König, Kind",1,27,1. Der Froschkönig oder der eiserne Heinrich .
"König, Diener",1,15,1. Der Froschkönig oder der eiserne Heinrich .
"König, Kopf",1,12,1. Der Froschkönig oder der eiserne Heinrich .
"König, Türe",1,17,1. Der Froschkönig oder der eiserne Heinrich .
"König, Gesicht",1,2,1. Der Froschkönig oder der eiserne Heinrich .
"König, Reich",1,18,1. Der Froschkönig oder der eiserne Heinrich .
"Wasser, König",1,12,1. Der Froschkönig oder der eiserne Heinrich .
"König, Fuß",1,5,1. Der Froschkönig oder der eiserne Heinrich .
"König, Zeit",1,19,1. Der Froschkönig oder der eiserne Heinrich .
