Characters,CharacterFrequency
"Frau, Mann",70
"König, Tochter",52
"Frau, De",52
"Frau, Kind",46
"König, Königin",45
"De, Mann",43
"König, Schloß",36
"Frau, König",35
"König, Jäger",34
"Bruder, Lustig",34
"König, Herr",31
"Hans, Grethel",31
"König, Mann",30
"Königin, Kind",28
"König, Tag",27
"Wald, Kind",27
"König, Kind",27
"Fuchs, Wolf",27
"Frau, Haus",27
"Wald, Weg",25
"Frau, Tochter",24
"Mädchen, König",24
"De, Ik",23
"Grethel, Hänsel",22
"Wald, König",22
"Wald, Frau",22
"Mutter, Hans",22
"De, Butt",21
"De, Wöör",21
"Kind, Mann",21
"Vater, Mutter",20
"Vater, Kind",20
"Morgen, König",20
"Nacht, Tag",20
"König, Königstochter",20
"He, De",20
"De, Ehre",20
"Tier, Jäger",19
"König, Zeit",19
"Vater, König",19
"Kind, Haus",19
"Fuchs, Herr",19
"König, Reich",18
"Mädchen, Frau",18
"Vater, Sohn",18
"Tochter, Mann",18
"König, Johannes",18
"König, Jahr",18
"König, Tod",18
"König, Sprache",18
"König, Tier",17
"Welt, Kind",17
"Frau, Königin",17
"Wald, Haus",17
"De, Awerst",17
"Bruder, König",17
"Wald, Tag",17
"König, Türe",17
"Freude, König",17
"Katze, Maus",17
"Mädchen, Kind",17
"König, Nacht",17
"Hochzeit, König",17
"König, Gemahlin",17
"Tag, Haus",16
"Mutter, Kind",16
"Wald, Baum",16
"König, Leute",16
"Haus, Mann",16
"Gold, König",16
"König, Leben",16
"Frau, Ehre",16
"Frau, Welt",16
"Frau, Hand",16
"Frau, Bett",16
"Vogel, De",16
"Herz, Kind",15
"König, Diener",15
"Abend, Tag",15
"Tag, Mann",15
"König, Jungfrau",15
"Jäger, Herr",15
"König, Koch",15
"Heil., Bruder",15
"Frau, Herz",15
"Wald, Mann",15
"Mädchen, Haus",15
"Welt, König",14
"Mädchen, Mutter",14
"Huhnchen, Hahnchen",14
"Mann, Ik",14
"He, Frau",14
"Mädchen, Tag",14
"König, Land",14
"Jahr, Königin",14
"König, Sohn",14
"Vater, Bruder",13
"Zeit, Mann",13
"König, Auge",13
"Frau, Ik",13
"Sprache, Jäger",13
"Wirt, König",13
"König, Dümmling",13
"Schneiderlein, Riese",13
"Wasser, Mann",13
"Haus, Herr",13
"Mädchen, Vater",13
"Wald, Bruder",13
"Zeit, Tag",13
"Gott, Frau",13
"Hans, Kopf",13
"Gold, Bruder",13
"Wald, Fuchs",12
"Frau, Holle",12
"Wolf, Jäger",12
"Frau, Tag",12
"Wasser, Feuer",12
"Butt, Mann",12
"Frau, Awerst",12
"Ehre, Wöör",12
"Wasser, König",12
"Wald, Herz",12
"König, Kopf",12
"Weg, Stück",12
"Jahr, Kind",12
"Kind, Tag",12
"Vater, Mann",12
"Wirt, Jäger",12
"Königstochter, Jäger",12
"König, Löwe",12
"Hans, 'guten",12
"Wirt, Herr",12
"Wald, Tier",12
"Mädchen, Bruder",12
"Mutter, Königin",12
"Mädchen, Herz",12
"Braut, König",11
"Kind, Kopf",11
"Herz, Mann",11
"Mutter, König",11
"Weg, Tag",11
"Mädchen, Königin",11
"Wasser, Brunnen",11
"Vater, Wald",11
"König, Herz",11
"König, Pferd",11
"Mädchen, Wald",11
"Frau, Jahr",11
"Mutter, Frau",11
"Jungfrau, Maria",11
"König, Baum",11
"Jahr, Sohn",11
"Hand, Kind",11
"Vater, Haus",11
"Vater, Welt",11
"Morgen, Mann",11
"König, Hand",11
"Ranzen, Bruder",11
"Löwe, Hase",11
"Vogel, Frau",11
"Vater, Frau",11
"König, Brot",11
"De, See",11
"Frau, Wöör",11
"Brief, Königin",11
"Tischchen, Deck",11
"Heil., Lustig",11
"Frieder, Katerliesechen",11
"Frieder, Friedearche",10
"Katerliesechen, Friedearche",10
