Characters,TaleDistributionFrequency
"Frau, Mann",24
"König, Tochter",23
"König, Schloß",19
"Frau, Kind",19
"König, Tag",18
"Frau, König",17
"König, Zeit",16
"Nacht, Tag",16
"König, Mann",16
"Frau, Haus",16
"Tag, Haus",15
"Frau, Tochter",15
"Abend, Tag",15
"Wald, König",14
"Wald, Weg",14
"Wald, Baum",14
"Hochzeit, König",14
"König, Tod",14
"König, Königstochter",13
"Frau, Welt",13
"Zeit, Tag",13
"Vater, Kind",13
"Wald, Tag",13
"Freude, König",13
"Herz, Kind",13
"König, Kind",13
"König, Königin",13
"Mädchen, Tag",13
"Mädchen, Kind",13
"Zeit, Mann",13
"Kind, Haus",13
"Frau, Herz",13
"Wald, Kind",12
"König, Reich",12
"Haus, Mann",12
"König, Gemahlin",12
"König, Nacht",12
"Tochter, Mann",12
"Welt, Kind",12
"Kind, Mann",12
"Frau, Tag",11
"Vater, König",11
"Morgen, König",11
"König, Land",11
"Mädchen, Frau",11
"Königin, Kind",11
"Mutter, Kind",11
"Wald, Frau",11
"Tag, Mann",11
"Vater, Bruder",11
"Vater, Mutter",11
"Wald, Haus",11
"Mädchen, Haus",11
"Frau, Bett",11
"König, Herr",10
"König, Jahr",10
"Herz, Mann",10
"Wald, Mann",10
"Mädchen, Vater",10
"Mädchen, König",10
"Weg, Tag",10
"Gott, Frau",10
"Hand, Haus",10
"Vater, Frau",10
"König, Kopf",10
"König, Leute",10
"Kind, Tag",10
"Welt, König",10
"König, Herz",9
"Weg, Stück",9
"König, Diener",9
"Wasser, König",9
"Wald, Herz",9
"Jahr, Kind",9
"Abend, Haus",9
"Welt, Mann",9
"Vater, Zeit",9
"Vater, Mann",9
"Vater, Sohn",9
"Vater, Welt",9
"Gott, Kind",9
"Haus, Herr",9
"Frau, Königin",9
"König, Sohn",9
"König, Auge",9
"König, Leben",9
"Mädchen, Herz",9
"Frau, Zeit",9
"Frau, Hand",9
"Morgen, Abend",9
"König, Tier",8
"Wald, Tier",8
"Hochzeit, Freude",8
"Mädchen, Schloß",8
"König, Pferd",8
"Vater, Wald",8
"König, Türe",8
"Nacht, Haus",8
"Jahr, Königin",8
"Bett, Nacht",8
"König, Baum",8
"Jahr, Sohn",8
"Mutter, Frau",8
"Gold, König",8
"Nacht, Mann",8
"König, Jungfrau",8
"Frau, Kopf",8
"Bruder, König",8
"Frau, Auge",8
"Hand, Mann",8
"Kind, Auge",8
"Morgen, Tag",8
"Wasser, Feuer",8
"Wald, Leute",8
"Mann, Auge",7
"Mädchen, Tochter",7
"Herz, Haus",7
"Vogel, Haus",7
"Frau, Türe",7
"Freude, Welt",7
"Frau, Nacht",7
"Vater, Herz",7
"Wasser, Brunnen",7
"Frau, Jahr",7
"Jahr, Tag",7
"Wald, Land",7
"Hand, Kind",7
"Welt, Königin",7
"Geld, Mann",7
"Vater, Hochzeit",7
"Tag, Tochter",7
"Morgen, Mann",7
"Feuer, Tag",7
"Schloß, Tochter",7
"Herz, Leben",7
"König, Gnade",7
"Freude, Kind",7
"König, Glück",7
"Kind, Kopf",7
"Hand, Kopf",7
"König, Hand",7
"Mann, Herr",7
"Weg, Fuchs",7
"'nein, Frau",7
"Jahr, Zeit",7
"Mädchen, Welt",7
"Mädchen, Nacht",7
