Characters,RelationFrequency
"König, Tochter",52
"König, Königin",45
"König, Schloß",36
"Frau, König",35
"König, Jäger",34
"König, Herr",31
"König, Mann",30
"König, Kind",27
"König, Tag",27
"Mädchen, König",24
"Wald, König",22
"Morgen, König",20
"König, Königstochter",20
"Vater, König",19
"König, Zeit",19
"König, Tod",18
"König, Sprache",18
"König, Jahr",18
"König, Reich",18
"König, Johannes",18
"Hochzeit, König",17
"König, Gemahlin",17
"König, Nacht",17
"Bruder, König",17
"König, Tier",17
"Freude, König",17
"König, Türe",17
"König, Leute",16
"König, Leben",16
"Gold, König",16
"König, Jungfrau",15
"König, Koch",15
"König, Diener",15
"König, Sohn",14
"König, Land",14
"Welt, König",14
"König, Auge",13
"König, Dümmling",13
"Wirt, König",13
"Wasser, König",12
"König, Löwe",12
"König, Kopf",12
"König, Pferd",11
"König, Herz",11
"König, Baum",11
"König, Brot",11
"Braut, König",11
"Mutter, König",11
"König, Hand",11
"König, Kleid",10
"Weg, König",10
"König, Alte",10
"König, Kammer",10
"König, Drachen",10
"König, Wein",9
"König, Schiff",9
"Bauer, König",9
"König, Haar",8
"König, Gnade",8
"König, Jagd",8
"König, Jüngling",7
"Ding, König",7
"König, Drosselbart",7
"Feuer, König",7
"König, Allerleirauh",7
"König, Glück",7
"König, Wagen",7
"König, Bett",7
"König, Jude",7
"König, Haus",6
"König, Suppe",6
"König, Mensch",6
"Ring, König",6
"Geist, König",6
"Brief, König",6
"Erde, König",6
"König, Frosch",5
"König, Fuß",5
"Schneiderlein, König",5
"König, De",5
"König, Geld",5
"König, Junge",5
"Fuchs, König",5
"Mir_Es, König",4
"Freier, König",4
"König, Mund",4
"König, Stein",4
"König, Tisch",4
"Vorzimmer, König",4
"Turm, König",4
"König, Glückskind",4
"König, Abend",4
"Bild, König",4
"'nein, König",4
"König, Sack",4
"Vogel, König",4
"König, Frieden",4
"Tür, König",4
"Berg, König",4
"König, Stube",4
"König, Taler",4
"Stuhl, König",3
"Asche, König",3
"König, Butt",3
"König, Wolf",3
"Hexe, König",3
"König, Eine",3
"König, Stiefmutter",3
"Ranzen, König",3
"König, Ik",3
"Keller, König",3
"Katze, König",3
"Teufel, König",3
"Brücke, König",3
"Mantel, König",3
"Gott, König",3
"König, Feld",3
"König, Erbse",3
"König, Garten",3
"König, Tor",3
"König, Himmel",3
"König, Feder",3
"König, Ecke",3
"König, Hund",3
"Arbeit, König",3
"Faß, König",3
"König, Soldat",3
"König, Knabe",3
"Rock, König",3
"König, Spinnrad",3
"Stroh, König",3
"König, Hase",3
"Heil., König",3
"Schneider, König",3
"König, Brunnen",3
"König, Apfel",2
"He, König",2
"König, Schwein",2
"Heinrich, König",2
"Spielmann, König",2
"Männlein, König",2
"Kugel, König",2
"König, Bräutigam",2
"Bein, König",2
"König, Licht",2
"Schatzkammer, König",2
"Ohr, König",2
"König, Reihe",2
"König, Verstand",2
"König, Hauschen",2
"Kranke, König",2
"König, Gesicht",2
"Schwesterchen, König",2
"König, Stallchen",2
"König, Gruseln",2
"Stück, König",2
"König, Name",2
"König, Männchen",2
"König, Arzt",2
"Messer, König",2
"König, Müllerstochter",2
"Silber, König",2
"König, Teppich",2
"König, Kraut",1
"König, Maus",1
"Ga, König",1
"König, Blume",1
"Sand, König",1
"Pfarrer, König",1
"König, Weib",1
"König, Engel",1
"König, Spindel",1
"König, Blatt",1
"Rabe, König",1
"König, Ehre",1
"König, Töchterlein",1
"Huhn, König",1
"König, Kunst",1
"König, Kohle",1
"König, Lustig",1
"König, Schwanz",1
"Rehchen, König",1
"König, Streiche",1
"König, Eltern",1
"König, Kuchen",1
"König, Kirche",1
"König, Axt",1
"König, Treppe",1
"Geselle, König",1
"König, Lauf",1
"König, Meister",1
"Hans, König",1
"König, Zahn",1
"König, Wiese",1
"König, Fährmann",1
"König, Vöglein",1
"Aschenputtel, König",1
"König, Pate",1
"König, Holz",1
"König, Riese",1
"Schrecken, König",1
"'er, König",1
"König, Fisch",1
"König, Kaiser",1
"König, Königssohn",1
"König, Leide",1
"Dornrösche, König",1
"König, Gans",1
"Finger, König",1
"Aufgabe, König",1
"König, Laufer",1
"Räuber, König",1
"König, Esel",1
"König, Gast",1
"Vetter, König",1
"Schuh, König",1
"König, Müller",1
