Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Körperteil",4,61
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Verschiedenes",3,67
1. Der Froschkönig oder der eiserne Heinrich .,"Männlich, Körperteil",3,30
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Orte",3,61
1. Der Froschkönig oder der eiserne Heinrich .,"Körperteil, Verschiedenes",2,23
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Orte",2,15
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Beziehung",2,123
1. Der Froschkönig oder der eiserne Heinrich .,"Beziehung, Körperteil",2,53
1. Der Froschkönig oder der eiserne Heinrich .,"Beziehung, Verschiedenes",2,54
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Körperteil",2,34
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Verschiedenes",1,33
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Gewerbebezeichnung",1,59
1. Der Froschkönig oder der eiserne Heinrich .,"Männlich, Orte",1,41
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Männlich",1,72
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Weiblich",1,105
1. Der Froschkönig oder der eiserne Heinrich .,"Wertgegenstände, Orte",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Fabelwesen",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Beziehung",1,14
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Körperteil",1,9
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Verschiedenes",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Beziehung",1,82
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Beziehung",1,176
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Körperteil",1,41
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Verschiedenes",1,35
2. Katze und Maus in Gesellschaft .,"Beziehung, Körperteil",1,53
2. Katze und Maus in Gesellschaft .,"Beziehung, Verschiedenes",1,54
2. Katze und Maus in Gesellschaft .,"Körperteil, Verschiedenes",1,23
3. Marienkind .,"Adel, Beziehung",6,123
3. Marienkind .,"Adel, Verschiedenes",6,67
3. Marienkind .,"Beziehung, Verschiedenes",6,54
3. Marienkind .,"Körperteil, Verschiedenes",4,23
3. Marienkind .,"Orte, Verschiedenes",3,33
3. Marienkind .,"Weiblich, Orte",2,65
3. Marienkind .,"Adel, Orte",2,61
3. Marienkind .,"Beziehung, Körperteil",2,53
3. Marienkind .,"Adel, Körperteil",2,61
3. Marienkind .,"Orte, Beziehung",1,82
3. Marienkind .,"Wertgegenstände, Körperteil",1,14
3. Marienkind .,"Weiblich, Beziehung",1,176
3. Marienkind .,"Weiblich, Verschiedenes",1,35
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Weiblich, Beziehung",3,176
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Adel, Weiblich",2,105
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Adel, Beziehung",2,123
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Weiblich, Wertgegenstände",2,20
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Wertgegenstände, Beziehung",2,31
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Adel, Wertgegenstände",2,28
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Männlich, Beziehung",1,185
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Weiblich, Orte",1,65
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Wertgegenstände, Orte",1,15
"4. Mährchen von einem , der auszog das Fürchten zu lernen .","Orte, Beziehung",1,82
5. Der Wolf und die sieben jungen Geislein .,"Orte, Beziehung",2,82
5. Der Wolf und die sieben jungen Geislein .,"Beziehung, Körperteil",2,53
5. Der Wolf und die sieben jungen Geislein .,"Orte, Körperteil",1,34
5. Der Wolf und die sieben jungen Geislein .,"Gewerbebezeichnung, Körperteil",1,19
6. Der treue Johannes .,"Adel, Eigenname",22,31
6. Der treue Johannes .,"Adel, Körperteil",8,61
6. Der treue Johannes .,"Eigenname, Verschiedenes",5,11
6. Der treue Johannes .,"Eigenname, Körperteil",5,12
6. Der treue Johannes .,"Adel, Gewerbebezeichnung",4,59
