Tale,Categories,TaleOccurrenceFrequency,CategoryRelationFrequency
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Körperteil",4,61
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Verschiedenes",3,67
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Orte",3,61
1. Der Froschkönig oder der eiserne Heinrich .,"Männlich, Körperteil",3,30
1. Der Froschkönig oder der eiserne Heinrich .,"Körperteil, Verschiedenes",2,23
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Beziehung",2,123
1. Der Froschkönig oder der eiserne Heinrich .,"Beziehung, Verschiedenes",2,54
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Körperteil",2,34
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Orte",2,15
1. Der Froschkönig oder der eiserne Heinrich .,"Beziehung, Körperteil",2,53
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Männlich",1,72
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Körperteil",1,41
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Fabelwesen",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Verschiedenes",1,35
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Beziehung",1,82
1. Der Froschkönig oder der eiserne Heinrich .,"Weiblich, Beziehung",1,176
1. Der Froschkönig oder der eiserne Heinrich .,"Orte, Verschiedenes",1,33
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Verschiedenes",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wertgegenstände, Orte",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Gewerbebezeichnung",1,59
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Beziehung",1,14
1. Der Froschkönig oder der eiserne Heinrich .,"Adel, Weiblich",1,105
1. Der Froschkönig oder der eiserne Heinrich .,"Männlich, Orte",1,41
1. Der Froschkönig oder der eiserne Heinrich .,"Fabelwesen, Körperteil",1,9
