tales	similarity (overlap of top 10 nouns)	nouns
15. Hänsel und Grethel ., full corpus	5	 Vater,  Wald,  Kind,  Haus,  Frau
16. Die drei Schlangenblätter ., full corpus	5	 Vater, König,  Mann,  Tag,  Frau
19. Von dem Fischer un syner Fru ., 47. Von dem Machandelboom .	5	 Wöör,  Ik,  He, De,  Frau
49. Die sechs Schwäne ., full corpus	5	 Wald,  Kind,  Bruder,  Tag, König
3. Marienkind ., 9. Die zwölf Brüder .	4	 Jahr,  Mädchen,  König,  Kind
6. Der treue Johannes ., 50. Dornröschen .	4	 Schloß, König,  Königstochter,  Kind
11. Brüderchen und Schwesterchen ., 31. Das Mädchen ohne Hände .	4	 Königin, König,  Hand,  Kind
11. Brüderchen und Schwesterchen ., 49. Die sechs Schwäne .	4	König,  Königin,  Wald,  Kind
11. Brüderchen und Schwesterchen ., 76. Die Nelke .	4	König,  Königin,  Jäger,  Kind
12. Rapunzel ., full corpus	4	 Frau,  Mann,  Tag,  Kind
13. Die drei Männlein im Walde ., 20. Das tapfere Schneiderlein .	4	 Mann,  Wald,  König,  Frau
13. Die drei Männlein im Walde ., full corpus	4	 Haus,  Mann,  Wald,  Frau
15. Hänsel und Grethel ., 40. Der Räuberbräutigam .	4	 Haus,  Weg,  Wald,  Alte
15. Hänsel und Grethel ., 49. Die sechs Schwäne .	4	 Weg,  Wald,  Alte,  Kind
15. Hänsel und Grethel ., 85. Die Goldkinder .	4	 Haus,  Wald,  Vater,  Frau
20. Das tapfere Schneiderlein ., 64. Die goldene Gans .	4	 Mann,  König,  Baum,  Wald
37. Daumesdick ., 78. Der alte Großvater und der Enkel .	4	 Mann,  Ohr,  Vater,  Frau
37. Daumesdick ., full corpus	4	 Frau,  Mann,  Vater,  Kind
40. Der Räuberbräutigam ., 49. Die sechs Schwäne .	4	 Mädchen,  Weg,  Wald,  Alte
43. Frau Trude ., full corpus	4	 Haus,  Mann,  Tag,  Kind
48. Der alte Sultan ., 75. Der Fuchs und die Katze .	4	 Hund,  Katze,  Wald,  Herr
49. Die sechs Schwäne ., 50. Dornröschen .	4	 Königin, König,  Tag,  Kind
85. Die Goldkinder ., full corpus	4	 Haus,  Wald,  Vater,  Frau
1. Der Froschkönig oder der eiserne Heinrich ., 13. Die drei Männlein im Walde .	3	 Wald,  König,  Wasser
1. Der Froschkönig oder der eiserne Heinrich ., 80. Von dem Tode des Hühnchens .	3	 Brunnen,  Wagen,  Wasser
2. Katze und Maus in Gesellschaft ., 43. Frau Trude .	3	 Haus,  Tag,  Kind
2. Katze und Maus in Gesellschaft ., full corpus	3	 Haus,  Tag,  Kind
3. Marienkind ., 49. Die sechs Schwäne .	3	 Mädchen,  Königin,  Kind
3. Marienkind ., 50. Dornröschen .	3	 Königin,  Jahr,  Kind
3. Marienkind ., 55. Rumpelstilzchen .	3	 Mädchen,  Königin,  König
4. Mährchen von einem , der auszog das Fürchten zu lernen ., 78. Der alte Großvater und der Enkel .	3	 Mann,  Auge,  Vater
5. Der Wolf und die sieben jungen Geislein ., 9. Die zwölf Brüder .	3	 Wald,  Mutter,  Kind
5. Der Wolf und die sieben jungen Geislein ., 48. Der alte Sultan .	3	Wolf,  Wald,  Kind
6. Der treue Johannes ., 16. Die drei Schlangenblätter .	3	 Leben,  Schiff, König
6. Der treue Johannes ., 76. Die Nelke .	3	 Leben, König,  Kind
8. Der wunderliche Spielmann ., 26. Rothkäppchen .	3	 Weg,  Wald,  Wolf
9. Die zwölf Brüder ., 13. Die drei Männlein im Walde .	3	 Wald,  König,  Mädchen
9. Die zwölf Brüder ., 49. Die sechs Schwäne .	3	 Mädchen,  Wald,  Kind
10. Das Lumpengesindel ., 41. Herr Korbes .	3	 Haus,  Wagen,  Huhnchen
11. Brüderchen und Schwesterchen ., 50. Dornröschen .	3	 Königin, König,  Kind
11. Brüderchen und Schwesterchen ., full corpus	3	König,  Wald,  Kind
12. Rapunzel ., 16. Die drei Schlangenblätter .	3	 Mann,  Tag,  Frau
12. Rapunzel ., 34. Die kluge Else .	3	 Frau,  Mann,  Kind
12. Rapunzel ., 37. Daumesdick .	3	 Frau,  Mann,  Kind
12. Rapunzel ., 43. Frau Trude .	3	 Mann,  Tag,  Kind
12. Rapunzel ., 50. Dornröschen .	3	 Königssohn,  Tag,  Kind
13. Die drei Männlein im Walde ., 15. Hänsel und Grethel .	3	 Haus,  Wald,  Frau
13. Die drei Männlein im Walde ., 19. Von dem Fischer un syner Fru .	3	 Mann,  König,  Frau
13. Die drei Männlein im Walde ., 29. Der Teufel mit den drei goldenen Haaren .	3	 König,  Wasser,  Frau
13. Die drei Männlein im Walde ., 40. Der Räuberbräutigam .	3	 Haus,  Mädchen,  Wald
13. Die drei Männlein im Walde ., 43. Frau Trude .	3	 Haus,  Mädchen,  Mann
13. Die drei Männlein im Walde ., 51. Fundevogel .	3	 Haus,  Wald,  Wasser
13. Die drei Männlein im Walde ., 64. Die goldene Gans .	3	 Mann,  König,  Wald
13. Die drei Männlein im Walde ., 85. Die Goldkinder .	3	 Haus,  Wald,  Frau
15. Hänsel und Grethel ., 16. Die drei Schlangenblätter .	3	 Brot,  Vater,  Frau
15. Hänsel und Grethel ., 26. Rothkäppchen .	3	 Haus,  Weg,  Wald
15. Hänsel und Grethel ., 37. Daumesdick .	3	 Frau,  Vater,  Kind
15. Hänsel und Grethel ., 48. Der alte Sultan .	3	 Frau,  Wald,  Kind
16. Die drei Schlangenblätter ., 37. Daumesdick .	3	 Mann,  Vater,  Frau
16. Die drei Schlangenblätter ., 52. König Drosselbart .	3	König,  Mann,  Frau
16. Die drei Schlangenblätter ., 78. Der alte Großvater und der Enkel .	3	 Mann,  Vater,  Frau
17. Die weiße Schlange ., 57. Der goldene Vogel .	3	 Jüngling,  Pferd,  König
19. Von dem Fischer un syner Fru ., 20. Das tapfere Schneiderlein .	3	 Mann,  König,  Frau
