top 50 nouns over all tales	freq
König	884
De	590
Frau	520
Mann	498
Tag	422
Haus	419
Kind	400
Vater	379
Wald	363
Mädchen	322
Herr	319
Hand	287
Hans	274
Bruder	269
Auge	265
Weg	258
Wasser	254
Tochter	250
Baum	234
Schloß	232
Zeit	228
Herz	226
Mutter	223
Alte	222
Nacht	220
Königstochter	219
Pferd	219
Jahr	213
Kopf	210
Jäger	202
Morgen	198
Sohn	195
Welt	187
Gott	178
Leben	176
Gold	175
Bett	174
Vogel	171
He	171
Königin	170
Abend	167
Königssohn	164
Fuchs	158
Türe	156
Geld	155
Kleid	154
Schneider	153
Tier	152
Bauer	150
Erde	149
