top 50 nouns over all tales	freq
König	519
Frau	336
Mann	270
De	225
Kind	224
Haus	211
Wald	208
Tag	199
Bruder	184
Vater	176
Mädchen	163
Herr	151
Weg	134
Fuchs	133
Königin	128
Hand	128
Wasser	126
Wolf	124
Herz	123
Jäger	122
Baum	116
Mutter	115
Zeit	114
Tochter	114
Hans	113
Tier	108
Welt	102
Gold	102
Vogel	102
Auge	101
Schloß	100
Kopf	97
Nacht	96
Feuer	96
Königstochter	94
Türe	94
Morgen	93
Sohn	91
Grethel	91
Bett	89
Pferd	87
Leben	79
Katze	75
Abend	74
Alte	73
Jahr	72
Sprache	71
Hund	71
Freude	70
Erde	69
