tales	similarity (overlap of top 10 nouns)	nouns
113. De beiden Künigeskinner ., 126. Ferenand getrü und Ferenand ungetrü .	6	 König,  He,  Et,  Awerst,  Ik, De
13. Die drei Männlein im Walde ., full corpus	5	 Wald,  Frau,  Mann,  Mädchen,  Haus
15. Hänsel und Grethel ., full corpus	5	 Wald,  Frau,  Vater,  Haus,  Kind
16. Die drei Schlangenblätter ., full corpus	5	König,  Frau,  Mann,  Tag,  Vater
19. Von dem Fischer un syner Fru ., 47. Von dem Machandelboom .	5	 Frau,  He,  Wöör,  Ik, De
43. Frau Trude ., full corpus	5	 Mann,  Mädchen,  Tag,  Haus,  Kind
49. Die sechs Schwäne ., full corpus	5	König,  Wald,  Mädchen,  Tag,  Kind
91. Dat Erdmänneken ., 113. De beiden Künigeskinner .	5	 Tochter,  König,  He,  Ase, De
103. Der süße Brei ., full corpus	5	 Wald,  Frau,  Mädchen,  Haus,  Kind
165. Der Vogel Greif ., 167. Das Bürle im Himmel .	5	 Au,  Isch,  D',  Gsi,  E
3. Marienkind ., 9. Die zwölf Brüder .	4	 Jahr,  König,  Mädchen,  Kind
6. Der treue Johannes ., 50. Dornröschen .	4	König,  Königstochter,  Kind,  Schloß
9. Die zwölf Brüder ., 103. Der süße Brei .	4	 Mutter,  Wald,  Mädchen,  Kind
9. Die zwölf Brüder ., 161. Schneeweißchen und Rosenroth .	4	 Mutter,  Wald,  Mädchen,  Kind
11. Brüderchen und Schwesterchen ., 31. Das Mädchen ohne Hände .	4	 Königin, König,  Kind,  Hand
11. Brüderchen und Schwesterchen ., 49. Die sechs Schwäne .	4	 Königin, König,  Wald,  Kind
11. Brüderchen und Schwesterchen ., 76. Die Nelke .	4	 Königin, König,  Kind,  Jäger
12. Rapunzel ., full corpus	4	 Frau,  Kind,  Mann,  Tag
13. Die drei Männlein im Walde ., 20. Das tapfere Schneiderlein .	4	 Frau,  Wald,  König,  Mann
13. Die drei Männlein im Walde ., 103. Der süße Brei .	4	 Haus,  Wald,  Frau,  Mädchen
15. Hänsel und Grethel ., 40. Der Räuberbräutigam .	4	 Alte,  Haus,  Wald,  Weg
15. Hänsel und Grethel ., 49. Die sechs Schwäne .	4	 Alte,  Wald,  Weg,  Kind
15. Hänsel und Grethel ., 85. Die Goldkinder .	4	 Haus,  Wald,  Frau,  Vater
15. Hänsel und Grethel ., 103. Der süße Brei .	4	 Haus,  Wald,  Frau,  Kind
19. Von dem Fischer un syner Fru ., 113. De beiden Künigeskinner .	4	 König,  Ik,  He, De
19. Von dem Fischer un syner Fru ., 126. Ferenand getrü und Ferenand ungetrü .	4	 König,  Ik,  He, De
20. Das tapfere Schneiderlein ., 64. Die goldene Gans .	4	 Baum,  Wald,  König,  Mann
37. Daumesdick ., 78. Der alte Großvater und der Enkel .	4	 Ohr,  Mann,  Frau,  Vater
37. Daumesdick ., full corpus	4	 Frau,  Kind,  Mann,  Vater
40. Der Räuberbräutigam ., 49. Die sechs Schwäne .	4	 Alte,  Wald,  Weg,  Mädchen
40. Der Räuberbräutigam ., 199. Der Stiefel von Büffelleder .	4	 Alte,  Räuber,  Wald,  Weg
47. Von dem Machandelboom ., 113. De beiden Künigeskinner .	4	 Awerst,  Ik,  He, De
47. Von dem Machandelboom ., 126. Ferenand getrü und Ferenand ungetrü .	4	 Awerst,  Ik,  He, De
48. Der alte Sultan ., 75. Der Fuchs und die Katze .	4	 Wald,  Hund,  Herr,  Katze
49. Die sechs Schwäne ., 50. Dornröschen .	4	 Tag, König,  Königin,  Kind
49. Die sechs Schwäne ., 123. Die Alte im Wald .	4	 Alte,  Wald,  Mädchen,  Tag
49. Die sechs Schwäne ., 199. Der Stiefel von Büffelleder .	4	 Alte,  Wald,  Weg,  Tag
85. Die Goldkinder ., 93. Die Rabe .	4	Mann,  Haus,  Frau,  Schloß
85. Die Goldkinder ., full corpus	4	 Haus,  Wald,  Frau,  Vater
91. Dat Erdmänneken ., 137. De drei schwatten Princessinnen .	4	 Weste,  Nig,  He, De
